Generation, Score
50, 3850
100, 11642
150, 10678
200, 9678
250, 13901
300, 13819
350, 3571
400, 10286
450, 10332
500, 6732
550, 3086
600, 6896
650, 4105
700, 3871
750, 10014
800, 15883
850, 25396
900, 8694
950, 11709
1000, 6965
1050, 6441
1100, 10411
1150, 9554
1200, 10244
1250, 8814
1300, 6670
1350, 9393
1400, 10356
1450, 12981
1500, 21293
1550, 2867
1600, 16738
1650, 23114
1700, 25805
1750, 29146
1800, 29095
1850, 28288
1900, 28106
1950, 24614
2000, 29657
2050, 28772
2100, 2427
2150, 23674
2200, 27004
2250, 26663
2300, 25834
2350, 26519
2400, 20127
2450, 21758
2500, 13920
2550, 26058
2600, 26795
2650, 19536
2700, 25225
2750, 25031
2800, 18908
2850, 19715
2900, 22913
2950, 18947
3000, 24705
3050, 26572
3100, 28242
3150, 27293
3200, 20545
3250, 27549
3300, 10401
3350, 29425
3400, 16775
