Generation, Score
50, 13431
100, 53479
150, 45831
200, 46182
250, 51584
300, 46276
350, 23500
400, 35234
450, 47570
500, 27518
550, 26218
600, 44162
650, 58927
700, 55705
750, 44811
800, 47202
850, 90689
900, 30461
950, 40881
1000, 38466
1050, 44064
1100, 67141
1150, 35576
1200, 32041
1250, 53235
1300, 27701
1350, 34109
1400, 28074
1450, 52370
1500, 86017
1550, 47548
1600, 62824
1650, 88253
1700, 105527
1750, 111111
1800, 115794
1850, 115820
1900, 119933
1950, 98669
2000, 120540
2050, 113973
2100, 11337
2150, 92746
2200, 108036
2250, 105284
2300, 96155
2350, 105874
2400, 80345
2450, 90614
2500, 65086
2550, 104095
2600, 101453
2650, 75557
2700, 106092
2750, 101887
2800, 65779
2850, 75146
2900, 106763
2950, 75049
3000, 101892
3050, 93650
3100, 107244
3150, 111595
3200, 80027
3250, 108476
3300, 52985
3350, 113780
3400, 78727
