Generation, Score
50, 449
100, 2226
150, 5080
200, 5647
250, 4935
300, 5184
350, 1453
400, 1676
450, 5299
500, 3189
550, 1992
600, 2986
650, 2288
700, 1602
750, 2096
800, 2916
850, 1519
900, 2515
950, 1418
1000, 2603
1050, 2688
1100, 2295
1150, 6768
1200, 6369
1250, 6866
1300, 6068
1350, 6052
1400, 5338
1450, 7417
1500, 7207
1550, 5300
1600, 7219
1650, 7332
1700, 7605
1750, 6958
1800, 7836
1850, 7368
1900, 6828
1950, 7391
2000, 6668
2050, 6753
2100, 2373
2150, 7719
2200, 7823
2250, 7604
2300, 7113
2350, 7384
2400, 6864
2450, 7677
2500, 6618
2550, 7362
2600, 5548
2650, 6727
2700, 5954
2750, 7454
2800, 7690
2850, 7326
2900, 6863
2950, 7071
3000, 7049
3050, 7735
3100, 7348
3150, 7103
3200, 6032
3250, 6964
3300, 7146
3350, 7733
3400, 7375
